user_screen_name,created_at,tweet_text
crayzlove45,3/30/2019 12:44,"b'RT @SamsungMobileIN: Meet the all-new #GalaxyS10. The Next Generation Galaxy has arrived. With an immersive Infinity-O Display, vault-like\xe2\x80\xa6'"
,,
smcln,3/30/2019 12:43,b'Wireless charging for me \xf0\x9f\x98\x8d#GalaxyS10 https://t.co/SmOySfKbiy'
,,
SamsungMobileIN,3/30/2019 12:41,b'@NirbhanKumar The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes wi\xe2\x80\xa6 https://t.co/YCsG9BRRKG'
,,
losssyinc2,3/30/2019 12:41,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
NirbhanKumar,3/30/2019 12:41,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/nuDwvyhCjl'"
,,
ynabeesa,3/30/2019 12:41,b'RT @SamsungMobileKE: Smartphone\n\nNoun\n\nA phone that can intelligently recognize your mobile behaviour and optimizes usage based on them. It\xe2\x80\xa6'
,,
nIlesh_1149,3/30/2019 12:40,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
J3rmo91,3/30/2019 12:38,b'Gotta love the Samsung Galaxy buds!\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xa7 So happy I got them with my pre-order! #samsung #galaxybuds #samsungs10\xe2\x80\xa6 https://t.co/XNHFrzpPMi'
,,
MSEDollyp,3/30/2019 12:38,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
diegopasjalidis,3/30/2019 12:38,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Iam_fayvorite,3/30/2019 12:37,b'RT @OloriSupergal: Shot with the Samsung Galaxy S10 plus using the 16MP (ultrawide) feature.\n\n@samsungmobileng \n#ShotonmyGalaxyNG \n#GalaxyS\xe2\x80\xa6'
,,
Maaneha007,3/30/2019 12:37,"b'Samsung Galaxy S10 Plus Review | Full Specifications, Camera, Design, Battery and Conclusion\xe2\x80\xa6 https://t.co/DWmRSwreqq'"
,,
SamsungMobileIN,3/30/2019 12:36,b'@NikhilPise The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes with\xe2\x80\xa6 https://t.co/TQdAt23hfF'
,,
NikhilPise,3/30/2019 12:36,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/iR6B53wwG6'"
,,
CarmenStanescu2,3/30/2019 12:35,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 12:34,b'@DrZinxworld The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experien\xe2\x80\xa6 https://t.co/AxgxPD0L8K'
,,
DrZinxworld,3/30/2019 12:33,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/VxESyv8btE'
,,
surajkaul4,3/30/2019 12:33,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
ShaileshTr,3/30/2019 12:32,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 12:30,b'@RAMESHJBHOJWANI The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes\xe2\x80\xa6 https://t.co/6F9WoeCHfx'
,,
RAMESHJBHOJWANI,3/30/2019 12:30,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/UfdqDFhKXT'"
,,
OloriSupergal,3/30/2019 12:30,b'People | Places \n\n@thekenndubisi x @thepamilerin \n\xf0\x9f\x93\x8d @ilxcenter \n\nShot with the Samsung Galaxy S10 plus\xe2\x80\xa6 https://t.co/hyITyxgQWd'
,,
panda_hill,3/30/2019 12:29,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
Rbradford39,3/30/2019 12:28,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
ParthTechJargon,3/30/2019 12:28,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/pHarW1vFfN'"
,,
SamsungMobileIN,3/30/2019 12:26,b'@manik_sharma25 The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes\xe2\x80\xa6 https://t.co/mzpTLEq2yZ'
,,
manik_sharma25,3/30/2019 12:26,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/gNh82P7MRE'"
,,
FaizelPatel143,3/30/2019 12:25,"b'RT @SamsungMobileSA: Screen for days \xe2\x86\x94! Check out the #GalaxyS10 Infinity-O display at the #GalaxyS10Studio @MenlynSA, @ThePavSA and @Tyger\xe2\x80\xa6'"
,,
SoGCerver,3/30/2019 12:21,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Christmas_Daddy,3/30/2019 12:20,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
ArjunCh52955335,3/30/2019 12:19,"b'RT @SamsungMobileIN: Meet the all-new #GalaxyS10. The Next Generation Galaxy has arrived. With an immersive Infinity-O Display, vault-like\xe2\x80\xa6'"
,,
ArjunCh52955335,3/30/2019 12:19,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
Mr7teen5,3/30/2019 12:18,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
2NRGd7,3/30/2019 12:18,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
MAHESHROYAL5,3/30/2019 12:18,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
alieza30,3/30/2019 12:17,"b'RT @SamsungMobileSA: Screen for days \xe2\x86\x94! Check out the #GalaxyS10 Infinity-O display at the #GalaxyS10Studio @MenlynSA, @ThePavSA and @Tyger\xe2\x80\xa6'"
,,
SamsungMobileIN,3/30/2019 12:16,b'@_BadeSaheb_ The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experien\xe2\x80\xa6 https://t.co/N4EJiL9nYu'
,,
nehalsv,3/30/2019 12:15,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
AbhinavMishra_,3/30/2019 12:14,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/f0ETQ56jWZ'"
,,
norbemi,3/30/2019 12:13,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
454dkhan,3/30/2019 12:12,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
MatOutside,3/30/2019 12:12,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
garyjengland,3/30/2019 12:12,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
jeenchukaew,3/30/2019 12:12,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
lukplapawa,3/30/2019 12:11,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Kuldeeppatel___,3/30/2019 12:11,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
wsin3,3/30/2019 12:10,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
iAmNotAI,3/30/2019 12:10,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Komal_____singh,3/30/2019 12:06,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
PritySh24445379,3/30/2019 12:06,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
itsfapbot,3/30/2019 12:03,b'One of the all new Samsung #GalaxyS10 in #SriLanka is no need to start.'
,,
Ch3rishYourLif3,3/30/2019 12:02,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
crowder_c,3/30/2019 12:02,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
0x434D53,3/30/2019 12:02,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
RockRAHULStark,3/30/2019 12:01,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/vtgWXd5Hcz'"
,,
OloriSupergal,3/30/2019 12:00,b'Shot with the Samsung Galaxy S10 plus using the 16MP (ultrawide) feature.\n\n@samsungmobileng \n#ShotonmyGalaxyNG\xe2\x80\xa6 https://t.co/7MedXsd7HI'
,,
ZubiMur,3/30/2019 12:00,b'RT @SamsungMobile: The #GalaxyS10 is a next generation smartphone like no other.\nThe next generation Galaxy has arrived.\nLearn more: https:\xe2\x80\xa6'
,,
SamsungMobileSA,3/30/2019 12:00,"b'Screen for days \xe2\x86\x94! Check out the #GalaxyS10 Infinity-O display at the #GalaxyS10Studio @MenlynSA, @ThePavSA and\xe2\x80\xa6 https://t.co/wLy1Uhgz66'"
,,
juanvelizChile,3/30/2019 11:59,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 11:59,b'@porwal_shilpi The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experi\xe2\x80\xa6 https://t.co/p6vUtvgbXL'
,,
porwal_shilpi,3/30/2019 11:59,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/OjpDgXUrIn'
,,
SamsungMobileIN,3/30/2019 11:58,b'@dagar_lakshay The revolutionary in-display ultrasonic fingerprint sensor makes vault-like security totally invisib\xe2\x80\xa6 https://t.co/go9zaaX5Aq'
,,
dagar_lakshay,3/30/2019 11:58,b'I carry my life on my phone with all my pictures and contacts residing on my phone. But with in-display Ultrasonic\xe2\x80\xa6 https://t.co/3Rt4URLWjK'
,,
SamsungMobileIN,3/30/2019 11:57,b'@Surendra_24_ The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experie\xe2\x80\xa6 https://t.co/9R1xw6xzTG'
,,
Surendra_24_,3/30/2019 11:57,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/2HZfJkI2YN'
,,
iAm_Prince92,3/30/2019 11:55,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
